sample_id,cell_type
162322,olfactory_cells
162324,olfactory_cells
162325,neurons
162326,neurons
162328,neurons
162329,neurons
162330,neurons
162331,astrocytes
162332,neurons
162333,olfactory_cells
162334,astrocytes
162335,astrocytes
162336,olfactory_cells
162337,neurons
162338,neurons
162339,olfactory_cells
162341,neurons
162342,olfactory_cells
162343,neurons
162344,olfactory_cells
162345,olfactory_cells
162347,astrocytes
162348,neurons
162350,neurons
162351,astrocytes
162352,neurons
162353,astrocytes
162354,astrocytes
162355,olfactory_cells
162356,olfactory_cells
162385,astrocytes
162387,olfactory_cells
162388,astrocytes
162390,astrocytes
162391,olfactory_cells
162392,neurons
162393,olfactory_cells
162394,neurons
162395,neurons
162396,neurons
162397,neurons
162398,neurons
162399,neurons
162400,olfactory_cells
162401,olfactory_cells
162402,olfactory_cells
162403,olfactory_cells
162405,astrocytes
162406,olfactory_cells
162407,olfactory_cells
162408,astrocytes
162409,astrocytes
162411,astrocytes
162412,astrocytes
162413,astrocytes
162414,neurons
162416,astrocytes
162417,astrocytes
162419,astrocytes
162420,olfactory_cells
162421,astrocytes
162422,olfactory_cells
162423,neurons
162424,astrocytes
162426,neurons
162428,astrocytes
162429,neurons
162431,astrocytes
162434,astrocytes
162436,astrocytes
162437,olfactory_cells
162438,neurons
162440,olfactory_cells
162444,astrocytes
162446,astrocytes
162447,olfactory_cells
162448,olfactory_cells
162450,olfactory_cells
162453,olfactory_cells
162455,neurons
162456,neurons
162457,olfactory_cells
162458,olfactory_cells
162460,astrocytes
162462,neurons
162463,neurons
162464,olfactory_cells
162465,astrocytes
162466,astrocytes
162468,olfactory_cells
162469,neurons
162470,astrocytes
162471,olfactory_cells
162472,astrocytes
162473,astrocytes
162474,neurons
162476,neurons
162477,astrocytes
162479,astrocytes
162482,astrocytes
162483,olfactory_cells
162487,astrocytes
162488,olfactory_cells
162489,astrocytes
162490,neurons
162491,astrocytes
162493,olfactory_cells
162494,olfactory_cells
162498,olfactory_cells
162500,neurons
162501,astrocytes
162502,olfactory_cells
162503,neurons
162504,olfactory_cells
162505,olfactory_cells
162508,astrocytes
162509,olfactory_cells
162510,olfactory_cells
162511,astrocytes
162513,astrocytes
162515,olfactory_cells
162517,olfactory_cells
162519,neurons
162520,neurons
162521,neurons
162522,astrocytes
162523,olfactory_cells
162526,neurons
162528,astrocytes
162532,olfactory_cells
162533,olfactory_cells
162534,neurons
162535,olfactory_cells
162536,olfactory_cells
162538,olfactory_cells
162539,olfactory_cells
162540,olfactory_cells
162541,astrocytes
162543,olfactory_cells
162545,astrocytes
162546,olfactory_cells
162549,astrocytes
162550,astrocytes
162551,neurons
162553,neurons
162554,neurons
162555,olfactory_cells
162556,olfactory_cells
162557,olfactory_cells
162559,olfactory_cells
162561,neurons
162563,neurons
162565,astrocytes
